"mean energy","max energy","min infected","max infected","tick","run"
5.741721854304639,10.0,0.0,6.0,47.0,1
5.738255033557051,10.0,0.0,6.0,48.0,1
5.682432432432432,10.0,0.0,6.0,49.0,1
5.765517241379311,10.0,0.0,6.0,50.0,1
5.605633802816902,10.0,0.0,6.0,51.0,1
5.510791366906474,10.0,0.0,6.0,52.0,1
5.485074626865673,10.0,0.0,6.0,53.0,1
5.431818181818185,10.0,0.0,6.0,54.0,1
5.426356589147285,10.0,0.0,6.0,55.0,1
5.453125,10.0,0.0,6.0,56.0,1
5.472440944881887,10.0,0.0,6.0,57.0,1
5.39516129032258,10.0,0.0,6.0,58.0,1
5.409836065573768,10.0,0.0,6.0,59.0,1
5.214876033057851,10.0,0.0,6.0,60.0,1
5.313559322033897,10.0,0.0,6.0,61.0,1
5.213675213675215,10.0,0.0,6.0,62.0,1
5.008771929824563,10.0,0.0,6.0,63.0,1
4.973214285714283,10.0,0.0,6.0,64.0,1
4.888888888888888,10.0,0.0,6.0,65.0,1
4.8055555555555545,10.0,0.0,6.0,66.0,1
4.785046728971965,10.0,0.0,6.0,67.0,1
4.807692307692308,10.0,0.0,6.0,68.0,1
4.6796116504854375,10.0,0.0,6.0,69.0,1
4.737373737373738,10.0,0.0,6.0,70.0,1
4.7938144329896915,10.0,0.0,6.0,71.0,1
4.831578947368421,10.0,0.0,6.0,72.0,1
4.782608695652174,10.0,0.0,6.0,73.0,1
4.818181818181817,10.0,0.0,6.0,74.0,1
4.604651162790701,10.0,0.0,6.0,75.0,1
4.589743589743589,10.0,0.0,6.0,76.0,1
4.55263157894737,10.0,0.0,6.0,77.0,1
4.736842105263158,10.0,0.0,6.0,78.0,1
4.702702702702701,10.0,0.0,6.0,79.0,1
4.694444444444444,10.0,0.0,6.0,80.0,1
4.694444444444444,10.0,0.0,6.0,81.0,1
4.591549295774648,10.0,0.0,6.0,82.0,1
4.304347826086955,10.0,0.0,6.0,83.0,1
4.606060606060605,9.0,0.0,6.0,84.0,1
4.3538461538461535,8.0,0.0,6.0,85.0,1
4.709677419354839,9.0,0.0,6.0,86.0,1
4.413793103448275,8.0,0.0,6.0,87.0,1
4.203703703703705,8.0,0.0,6.0,88.0,1
4.056603773584906,8.0,0.0,7.0,89.0,1
4.153846153846155,7.0,0.0,7.0,90.0,1
3.9230769230769216,7.0,0.0,7.0,91.0,1
3.7499999999999996,7.0,0.0,7.0,92.0,1
3.6799999999999997,10.0,0.0,7.0,93.0,1
3.795918367346939,10.0,0.0,7.0,94.0,1
3.4,10.0,0.0,7.0,95.0,1
3.292682926829269,8.0,0.0,7.0,96.0,1
3.2702702702702706,6.0,0.0,7.0,97.0,1
3.194444444444444,8.0,0.0,7.0,98.0,1
3.1515151515151514,8.0,0.0,7.0,99.0,1
3.3548387096774195,8.0,0.0,8.0,100.0,1
3.2068965517241375,8.0,0.0,8.0,101.0,1
3.344827586206897,8.0,0.0,8.0,102.0,1
3.4615384615384612,8.0,0.0,8.0,103.0,1
2.8,7.0,0.0,8.0,104.0,1
3.0000000000000004,6.0,0.0,8.0,105.0,1
3.1428571428571432,8.0,0.0,8.0,106.0,1
3.4285714285714284,10.0,0.0,8.0,107.0,1
3.5714285714285716,9.0,0.0,8.0,108.0,1
3.2000000000000006,7.0,0.0,8.0,109.0,1
3.1999999999999997,7.0,0.0,8.0,110.0,1
2.7500000000000004,7.0,0.0,8.0,111.0,1
2.7,7.0,0.0,8.0,112.0,1
2.3,6.0,0.0,8.0,113.0,1
2.2105263157894735,6.0,0.0,8.0,114.0,1
2.1052631578947367,6.0,0.0,8.0,115.0,1
2.555555555555556,6.0,0.0,8.0,116.0,1
2.388888888888889,6.0,0.0,8.0,117.0,1
2.8333333333333335,8.0,0.0,8.0,118.0,1
3.0000000000000004,6.0,0.0,8.0,119.0,1
2.5625000000000004,6.0,0.0,8.0,120.0,1
2.625,6.0,0.0,8.0,121.0,1
2.8124999999999996,7.0,0.0,8.0,122.0,1
2.8124999999999996,7.0,0.0,8.0,123.0,1
2.6874999999999996,6.0,0.0,8.0,124.0,1
3.0,10.0,0.0,8.0,125.0,1
3.0,10.0,0.0,8.0,126.0,1
3.133333333333333,10.0,0.0,8.0,127.0,1
3.9285714285714284,10.0,0.0,8.0,128.0,1
2.8333333333333335,9.0,0.0,8.0,129.0,1
1.375,5.0,0.0,8.0,130.0,1
1.0,3.0,0.0,8.0,131.0,1
0.6666666666666667,2.0,0.0,8.0,132.0,1
1.0,4.0,0.0,8.0,133.0,1
0.25,1.0,0.0,8.0,134.0,1
2.0,7.0,0.0,8.0,135.0,1
3.75,7.0,0.0,8.0,136.0,1
3.75,7.0,0.0,8.0,137.0,1
3.5,7.0,0.0,8.0,138.0,1
5.0,8.0,0.0,8.0,139.0,1
4.5,7.0,0.0,8.0,140.0,1
5.75,7.0,0.0,8.0,141.0,1
4.75,6.0,0.0,8.0,142.0,1
4.666666666666667,5.0,0.0,8.0,143.0,1
3.0,4.0,0.0,8.0,144.0,1
3.5,4.0,0.0,8.0,145.0,1
3.0,4.0,0.0,8.0,146.0,1
2.5,4.0,0.0,8.0,147.0,1
4.5,7.0,0.0,8.0,148.0,1
6.0,6.0,0.0,8.0,149.0,1
NaN,NaN,0.0,8.0,150.0,1
NaN,NaN,0.0,8.0,151.0,1
NaN,NaN,0.0,8.0,152.0,1
NaN,NaN,0.0,8.0,153.0,1
NaN,NaN,0.0,8.0,154.0,1
NaN,NaN,0.0,8.0,155.0,1
NaN,NaN,0.0,8.0,156.0,1
NaN,NaN,0.0,8.0,157.0,1
NaN,NaN,0.0,8.0,158.0,1
NaN,NaN,0.0,8.0,159.0,1
